country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.12.13,1172.00,1192.51,1151.49,1183.40,1160.60,1186.06,1159.44
USA,2019.12.12,1189.00,1209.80,1168.20,1200.60,1177.40,1203.26,1176.22
USA,2019.12.11,1194.70,1215.60,1173.80,1206.40,1183.00,1209.03,1181.82
USA,2019.12.10,1192.00,1212.86,1171.14,1203.60,1180.40,1206.30,1179.22
USA,2019.12.09,1191.00,1211.84,1170.16,1202.60,1179.40,1205.29,1178.23
USA,2019.12.06,1189.50,1210.31,1168.69,1201.10,1177.90,1203.77,1176.73
USA,2019.12.05,1191.00,1211.84,1170.16,1202.60,1179.40,1205.29,1178.23
USA,2019.12.04,1193.00,1213.87,1172.13,1204.60,1181.40,1207.31,1180.23
USA,2019.12.03,1190.00,1210.82,1169.18,1201.60,1178.40,1204.28,1177.23
USA,2019.12.02,1185.00,1205.73,1164.27,1196.60,1173.40,1199.22,1172.24
USA,2019.11.29,1180.00,1200.65,1159.35,1191.50,1168.50,1194.16,1167.34
USA,2019.11.28,1179.00,1199.63,1158.37,1190.50,1167.50,1193.14,1166.35
USA,2019.11.27,1177.50,1198.10,1156.90,1189.00,1166.00,1191.63,1164.84
USA,2019.11.26,1177.50,1198.10,1156.90,1189.00,1166.00,1191.63,1164.84
USA,2019.11.25,1176.50,1197.08,1155.92,1188.00,1165.00,1190.61,1163.84
USA,2019.11.22,1178.00,1198.61,1157.39,1189.50,1166.50,1192.13,1165.34
USA,2019.11.21,1175.50,1196.07,1154.93,1187.00,1164.00,1189.60,1162.84
USA,2019.11.20,1170.50,1190.98,1150.02,1181.90,1159.10,1184.54,1157.94
USA,2019.11.19,1166.50,1186.91,1146.09,1177.90,1155.10,1180.49,1153.95
USA,2019.11.18,1165.50,1185.89,1145.11,1176.90,1154.10,1179.48,1152.95
JAPAN,2019.12.13,1068.66,1087.36,1049.96,1079.13,1058.19,1079.34,1057.72
JAPAN,2019.12.12,1094.39,1113.54,1075.24,1105.11,1083.67,1105.33,1083.19
JAPAN,2019.12.11,1099.43,1118.67,1080.19,1110.20,1088.66,1110.42,1088.17
JAPAN,2019.12.10,1097.96,1117.17,1078.75,1108.72,1087.20,1108.93,1086.71
JAPAN,2019.12.09,1098.10,1117.31,1078.89,1108.86,1087.34,1109.08,1086.85
JAPAN,2019.12.06,1095.51,1114.68,1076.34,1106.24,1084.78,1106.46,1084.30
JAPAN,2019.12.05,1093.01,1112.13,1073.89,1103.72,1082.30,1103.94,1081.82
JAPAN,2019.12.04,1097.97,1117.18,1078.76,1108.73,1087.21,1108.94,1086.73
JAPAN,2019.12.03,1093.30,1112.43,1074.17,1104.01,1082.59,1104.23,1082.11
JAPAN,2019.12.02,1080.76,1099.67,1061.85,1091.35,1070.17,1091.56,1069.69
JAPAN,2019.11.29,1077.18,1096.03,1058.33,1087.73,1066.63,1087.95,1066.15
JAPAN,2019.11.28,1077.25,1096.10,1058.40,1087.80,1066.70,1088.02,1066.20
JAPAN,2019.11.27,1079.14,1098.02,1060.26,1089.71,1068.57,1089.93,1068.07
JAPAN,2019.11.26,1080.52,1099.42,1061.62,1091.10,1069.94,1091.32,1069.44
JAPAN,2019.11.25,1080.89,1099.80,1061.98,1091.48,1070.30,1091.69,1069.80
JAPAN,2019.11.22,1085.36,1104.35,1066.37,1095.99,1074.73,1096.21,1074.23
JAPAN,2019.11.21,1082.26,1101.19,1063.33,1092.86,1071.66,1093.08,1071.16
JAPAN,2019.11.20,1079.35,1098.23,1060.47,1089.92,1068.78,1090.14,1068.28
JAPAN,2019.11.19,1072.05,1090.81,1053.29,1082.55,1061.55,1082.77,1061.05
JAPAN,2019.11.18,1068.82,1087.52,1050.12,1079.29,1058.35,1079.50,1057.86
EUROPE,2019.12.13,1310.18,1336.25,1284.11,1323.28,1297.08,1329.83,1296.56
EUROPE,2019.12.12,1323.30,1349.63,1296.97,1336.53,1310.07,1343.14,1309.54
EUROPE,2019.12.11,1324.32,1350.67,1297.97,1337.56,1311.08,1344.18,1310.55
EUROPE,2019.12.10,1320.32,1346.59,1294.05,1333.52,1307.12,1340.12,1306.59
EUROPE,2019.12.09,1318.56,1344.79,1292.33,1331.74,1305.38,1338.33,1304.85
EUROPE,2019.12.06,1319.75,1346.01,1293.49,1332.94,1306.56,1339.54,1306.03
EUROPE,2019.12.05,1320.82,1347.10,1294.54,1334.02,1307.62,1340.63,1307.09
EUROPE,2019.12.04,1321.37,1347.66,1295.08,1334.58,1308.16,1341.19,1307.63
EUROPE,2019.12.03,1317.45,1343.66,1291.24,1330.62,1304.28,1337.21,1303.75
EUROPE,2019.12.02,1305.10,1331.07,1279.13,1318.15,1292.05,1324.67,1291.53
EUROPE,2019.11.29,1298.35,1324.18,1272.52,1311.33,1285.37,1317.82,1284.85
EUROPE,2019.11.28,1298.49,1324.32,1272.66,1311.47,1285.51,1317.96,1284.98
EUROPE,2019.11.27,1295.78,1321.56,1270.00,1308.73,1282.83,1315.21,1282.30
EUROPE,2019.11.26,1297.25,1323.06,1271.44,1310.22,1284.28,1316.70,1283.75
EUROPE,2019.11.25,1295.91,1321.69,1270.13,1308.86,1282.96,1315.34,1282.43
EUROPE,2019.11.22,1302.40,1328.31,1276.49,1315.42,1289.38,1321.93,1288.85
EUROPE,2019.11.21,1302.63,1328.55,1276.71,1315.65,1289.61,1322.16,1289.08
EUROPE,2019.11.20,1295.22,1320.99,1269.45,1308.17,1282.27,1314.64,1281.74
EUROPE,2019.11.19,1291.37,1317.06,1265.68,1304.28,1278.46,1310.74,1277.94
EUROPE,2019.11.18,1288.87,1314.51,1263.23,1301.75,1275.99,1308.20,1275.47
CHINA,2019.12.13,168.02,176.42,159.62,169.70,166.34,N/A,N/A
CHINA,2019.12.12,168.97,177.41,160.53,170.65,167.29,N/A,N/A
CHINA,2019.12.11,169.78,178.26,161.30,171.47,168.09,N/A,N/A
CHINA,2019.12.10,169.35,177.81,160.89,171.04,167.66,N/A,N/A
CHINA,2019.12.09,169.32,177.78,160.86,171.01,167.63,N/A,N/A
CHINA,2019.12.06,169.24,177.70,160.78,170.93,167.55,N/A,N/A
CHINA,2019.12.05,169.14,177.59,160.69,170.83,167.45,N/A,N/A
CHINA,2019.12.04,169.07,177.52,160.62,170.76,167.38,N/A,N/A
CHINA,2019.12.03,168.40,176.82,159.98,170.08,166.72,N/A,N/A
CHINA,2019.12.02,168.34,176.75,159.93,170.02,166.66,N/A,N/A
CHINA,2019.11.29,167.98,176.37,159.59,169.65,166.31,N/A,N/A
CHINA,2019.11.28,167.71,176.09,159.33,169.38,166.04,N/A,N/A
CHINA,2019.11.27,167.81,176.20,159.42,169.48,166.14,N/A,N/A
CHINA,2019.11.26,167.25,175.61,158.89,168.92,165.58,N/A,N/A
CHINA,2019.11.25,167.36,175.72,159.00,169.03,165.69,N/A,N/A
CHINA,2019.11.22,167.31,175.67,158.95,168.98,165.64,N/A,N/A
CHINA,2019.11.21,167.17,175.52,158.82,168.84,165.50,N/A,N/A
CHINA,2019.11.20,166.34,174.65,158.03,168.00,164.68,N/A,N/A
CHINA,2019.11.19,166.04,174.34,157.74,167.70,164.38,N/A,N/A
CHINA,2019.11.18,166.11,174.41,157.81,167.77,164.45,N/A,N/A
CANADA,2019.12.13,890.92,908.47,873.37,899.82,882.02,904.28,881.01
CANADA,2019.12.12,903.02,920.80,885.24,912.05,893.99,916.56,892.98
CANADA,2019.12.11,902.55,920.33,884.77,911.57,893.53,916.08,892.53
CANADA,2019.12.10,900.44,918.17,882.71,909.44,891.44,913.94,890.44
CANADA,2019.12.09,898.33,916.02,880.64,907.31,889.35,911.80,888.36
CANADA,2019.12.06,902.64,920.42,884.86,911.66,893.62,916.17,892.63
CANADA,2019.12.05,903.64,921.44,885.84,912.67,894.61,917.19,893.61
CANADA,2019.12.04,898.21,915.90,880.52,907.19,889.23,911.68,888.24
CANADA,2019.12.03,894.40,912.01,876.79,903.34,885.46,907.81,884.47
CANADA,2019.12.02,892.22,909.79,874.65,901.14,883.30,905.60,882.30
CANADA,2019.11.29,887.79,905.27,870.31,896.66,878.92,901.10,877.92
CANADA,2019.11.28,886.93,904.40,869.46,895.79,878.07,900.23,877.12
CANADA,2019.11.27,887.64,905.12,870.16,896.51,878.77,900.95,877.82
CANADA,2019.11.26,884.61,902.03,867.19,893.45,875.77,897.87,874.83
CANADA,2019.11.25,884.65,902.07,867.23,893.49,875.81,897.91,874.87
CANADA,2019.11.22,886.81,904.28,869.34,895.67,877.95,900.11,877.00
CANADA,2019.11.21,883.64,901.04,866.24,892.47,874.81,896.89,873.87
CANADA,2019.11.20,879.28,896.60,861.96,888.07,870.49,892.46,869.55
CANADA,2019.11.19,883.28,900.68,865.88,892.11,874.45,896.52,873.51
CANADA,2019.11.18,881.65,899.01,864.29,890.46,872.84,894.87,871.90
AUSTRALIA,2019.12.13,810.56,826.52,794.60,818.66,802.46,822.71,801.63
AUSTRALIA,2019.12.12,818.57,834.69,802.45,826.75,810.39,830.84,809.55
AUSTRALIA,2019.12.11,816.70,832.78,800.62,824.86,808.54,828.95,807.71
AUSTRALIA,2019.12.10,812.35,828.35,796.35,820.47,804.23,824.53,803.43
AUSTRALIA,2019.12.09,812.98,828.99,796.97,821.10,804.86,825.17,804.06
AUSTRALIA,2019.12.06,814.63,830.67,798.59,822.77,806.49,826.84,805.68
AUSTRALIA,2019.12.05,813.45,829.47,797.43,821.58,805.32,825.65,804.51
AUSTRALIA,2019.12.04,814.88,830.93,798.83,823.02,806.74,827.10,805.93
AUSTRALIA,2019.12.03,814.32,830.36,798.28,822.46,806.18,826.53,805.40
AUSTRALIA,2019.12.02,804.32,820.16,788.48,812.36,796.28,816.38,795.51
AUSTRALIA,2019.11.29,799.63,815.38,783.88,807.62,791.64,811.62,790.87
AUSTRALIA,2019.11.28,797.89,813.60,782.18,805.86,789.92,809.85,789.30
AUSTRALIA,2019.11.27,798.76,814.49,783.03,806.74,790.78,810.74,790.15
AUSTRALIA,2019.11.26,797.99,813.71,782.27,805.96,790.02,809.95,789.41
AUSTRALIA,2019.11.25,798.67,814.40,782.94,806.65,790.69,810.65,790.08
AUSTRALIA,2019.11.22,799.74,815.49,783.99,807.73,791.75,811.73,791.13
AUSTRALIA,2019.11.21,800.46,816.22,784.70,808.46,792.46,812.46,791.83
AUSTRALIA,2019.11.20,797.29,812.99,781.59,805.26,789.32,809.24,788.70
AUSTRALIA,2019.11.19,795.49,811.16,779.82,803.44,787.54,807.42,786.92
AUSTRALIA,2019.11.18,793.65,809.28,778.02,801.58,785.72,805.55,785.09
TAIWAN,2019.12.13,38.78,43.86,36.07,0.00,0.00,N/A,N/A
TAIWAN,2019.12.12,39.17,44.30,36.43,0.00,0.00,N/A,N/A
TAIWAN,2019.12.11,39.22,44.35,36.48,0.00,0.00,N/A,N/A
TAIWAN,2019.12.10,39.12,44.24,36.39,0.00,0.00,N/A,N/A
TAIWAN,2019.12.09,39.05,44.16,36.32,0.00,0.00,N/A,N/A
TAIWAN,2019.12.06,39.03,44.14,36.30,0.00,0.00,N/A,N/A
TAIWAN,2019.12.05,39.04,44.15,36.31,0.00,0.00,N/A,N/A
TAIWAN,2019.12.04,39.14,44.26,36.41,0.00,0.00,N/A,N/A
TAIWAN,2019.12.03,38.98,44.08,36.26,0.00,0.00,N/A,N/A
TAIWAN,2019.12.02,38.84,43.92,36.13,0.00,0.00,N/A,N/A
TAIWAN,2019.11.29,38.67,43.73,35.97,0.00,0.00,N/A,N/A
TAIWAN,2019.11.28,38.67,43.73,35.97,0.00,0.00,N/A,N/A
TAIWAN,2019.11.27,38.55,43.60,35.86,0.00,0.00,N/A,N/A
TAIWAN,2019.11.26,38.57,43.62,35.88,0.00,0.00,N/A,N/A
TAIWAN,2019.11.25,38.55,43.60,35.86,0.00,0.00,N/A,N/A
TAIWAN,2019.11.22,38.57,43.62,35.88,0.00,0.00,N/A,N/A
TAIWAN,2019.11.21,38.54,43.58,35.85,0.00,0.00,N/A,N/A
TAIWAN,2019.11.20,38.35,43.37,35.67,0.00,0.00,N/A,N/A
TAIWAN,2019.11.19,38.25,43.26,35.58,0.00,0.00,N/A,N/A
TAIWAN,2019.11.18,38.22,43.22,35.55,0.00,0.00,N/A,N/A
HONGKONG,2019.12.13,150.31,153.27,147.35,151.81,148.81,N/A,148.65
HONGKONG,2019.12.12,152.32,155.32,149.32,153.84,150.80,N/A,150.64
HONGKONG,2019.12.11,152.93,155.94,149.92,154.45,151.41,N/A,151.25
HONGKONG,2019.12.10,152.32,155.32,149.32,153.84,150.80,N/A,150.64
HONGKONG,2019.12.09,152.15,155.14,149.16,153.67,150.63,N/A,150.47
HONGKONG,2019.12.06,151.94,154.93,148.95,153.45,150.43,N/A,150.27
HONGKONG,2019.12.05,152.12,155.11,149.13,153.64,150.60,N/A,150.44
HONGKONG,2019.12.04,152.39,155.39,149.39,153.91,150.87,N/A,150.71
HONGKONG,2019.12.03,152.00,154.99,149.01,153.52,150.48,N/A,150.32
HONGKONG,2019.12.02,151.37,154.35,148.39,152.88,149.86,N/A,149.70
HONGKONG,2019.11.29,150.79,153.76,147.82,152.29,149.29,N/A,149.14
HONGKONG,2019.11.28,150.63,153.59,147.67,152.13,149.13,N/A,148.98
HONGKONG,2019.11.27,150.42,153.38,147.46,151.92,148.92,N/A,148.77
HONGKONG,2019.11.26,150.44,153.40,147.48,151.94,148.94,N/A,148.80
HONGKONG,2019.11.25,150.30,153.26,147.34,151.80,148.80,N/A,148.65
HONGKONG,2019.11.22,150.55,153.51,147.59,152.05,149.05,N/A,148.89
HONGKONG,2019.11.21,150.30,153.26,147.34,151.80,148.80,N/A,148.64
